Login,Role,Standard Role,Role Base Name,Role Group
tuliomartins,Systems Architect,Systems Architect,Systems Architect,5 - Master / Manager
tulios,Developer,Developer - Mid,Developer,3 - Mid-Level
tullius,Tester,QA - Sr,QA,4 - Senior
turassa,Architecture Manager,Principal Architect,Principal Architect,6 - Master 2 / Senior Manager
turon,Architecture Manager,Principal Architect,Principal Architect,6 - Master 2 / Senior Manager
tvieira,Senior Experience Manager,Senior Manager,Senior Manager,6 - Master 2 / Senior Manager
twinklec,Tester,QA - Mid,QA,3 - Mid-Level
tzago,Systems Architect,Systems Architect,Systems Architect,5 - Master / Manager
tzambotti,Squad Leader,Not Applicable,Not Applicable,5 - Master / Manager
ualid,Developer,Developer - Sr,Developer,4 - Senior
ubirajara.neto,Developer Master,Developer - Master,Developer,5 - Master / Manager
ubyrajarap,Squad Leader,Squad Leader,Squad Leader,5 - Master / Manager
uildson,Developer,Intern,Intern,1 - Intern
ulissesmg,Developer,Intern,Intern,1 - Intern
ulissesoliveira,Developer,Developer - Sr,Developer,4 - Senior
ulissesr,Developer,Developer - Mid,Developer,3 - Mid-Level
ulissesrs,Developer,Developer - Sr,Developer,4 - Senior
umana,Developer,Developer - Mid,Developer,3 - Mid-Level
v.linacui,Support Analyst,Not Applicable,Not Applicable,2 - Junior
v.susanacanas,UX Designer,UX Specialist - Sr,UX Specialist,4 - Senior
vagner.mendes,Senior Manager,Senior Manager,Senior Manager,6 - Master 2 / Senior Manager
vagner.oliveira,Developer,Developer - Sr,Developer,4 - Senior
vagnergb,Business Analyst,Business Analyst - Sr,Business Analyst,4 - Senior
valdemarb,Data Developer,Data Developer - Sr,Data Developer,4 - Senior
valdices,Business Analyst,Business Analyst - Mid,Business Analyst,3 - Mid-Level
valdirc,Developer,Developer - Jr,Developer,2 - Junior
valdomiromc,Developer,Developer - Mid,Developer,3 - Mid-Level
valdrei,Tester,QA - Sr,QA,4 - Senior
valeria.silva,Data Developer,Data Developer - Sr,Data Developer,4 - Senior
valkerv,Software Architect,Software Architect - Sr,Software Architect,4 - Senior
