Login,Role,Standard Role,Role Base Name,Role Group
jbettine,Project Manager,Project Manager,Project Manager,5 - Master / Manager
jbezerra,Developer,Intern,Intern,1 - Intern
jblado,Support Analyst,Support Analyst - Jr,Support Analyst,2 - Junior
jbohana,Developer,Developer - Mid,Developer,3 - Mid-Level
jbraga,Support Master,Scrum Master,Scrum Master,4 - Senior
jbraz,Developer,Developer - Sr,Developer,4 - Senior
jcadar,Data & Analytics Specialist,Data Analyst - Mid,Data Analyst,3 - Mid-Level
jcamargo,Developer,Developer - Sr,Developer,4 - Senior
jcaroline,Tester,QA - Mid,QA,3 - Mid-Level
jcarvalho,Developer,Developer - Mid,Developer,3 - Mid-Level
jcasarotti,Senior Manager,Senior Manager,Senior Manager,6 - Master 2 / Senior Manager
jcastioni,Software Architect,Software Architect - Sr,Software Architect,4 - Senior
jcavalcanti,Developer,Developer - Jr,Developer,2 - Junior
jcella,Scrum Master,Scrum Master,Scrum Master,4 - Senior
jchagas,Developer,Intern,Intern,1 - Intern
jchaves,Developer,Developer - Mid,Developer,3 - Mid-Level
jchiozzini,Developer,Intern,Intern,1 - Intern
jcoletto,Developer,Developer - Sr,Developer,4 - Senior
jcolombo,Support Analyst,Support Analyst - Mid,Support Analyst,3 - Mid-Level
jcrodrigues,Architecture Manager,Principal Architect,Principal Architect,6 - Master 2 / Senior Manager
jcurvelo,DevOps,Not Applicable,Not Applicable,3 - Mid-Level
jdamaceno,Developer,Developer - Mid,Developer,3 - Mid-Level
jdavalos,Developer,Developer - Mid,Developer,3 - Mid-Level
jeancb,Software Architect,Software Architect - Sr,Software Architect,4 - Senior
jeands,Developer,Developer - Mid,Developer,3 - Mid-Level
jeanfrank,Senior Manager,Senior Manager,Senior Manager,6 - Master 2 / Senior Manager
jeangrijp,Developer,Developer - Mid,Developer,3 - Mid-Level
jeanjustino,Systems Architect,Systems Architect,Systems Architect,5 - Master / Manager
jeanmartins,Tester,QA - Sr,QA,4 - Senior
jeanmh,Developer,Developer - Sr,Developer,4 - Senior
jeanp,Software Architect,Software Architect - Sr,Software Architect,4 - Senior
jeanpr,Data Developer,Data Developer - Mid,Data Developer,3 - Mid-Level
jeanribeiro,Developer,Developer - Mid,Developer,3 - Mid-Level
jeansipriani,Tester,QA - Mid,QA,3 - Mid-Level
jeanvp,Developer,Developer - Jr,Developer,2 - Junior
jecard,Scrum Master,Scrum Master,Scrum Master,4 - Senior
jecianes,Developer,Developer - Jr,Developer,2 - Junior
jefersonheleno,Developer,Developer - Sr,Developer,4 - Senior
jefersonm,Squad Leader,Scrum Master,Scrum Master,4 - Senior
jefersonms,Support Analyst,Support Analyst - Mid,Support Analyst,3 - Mid-Level
jefersonsantos,Developer,Developer - Mid,Developer,3 - Mid-Level
jefferson,Developer Master,Developer - Master,Developer,5 - Master / Manager
jefferson.moreira,Developer,Developer - Mid,Developer,3 - Mid-Level
jefferson.silveira,Data & Analytics Specialist,Data Analyst - Sr,Data Analyst,4 - Senior
jefferson.valverde,Developer,Developer - Sr,Developer,4 - Senior
jeffersonf,Developer Master,Developer - Master,Developer,5 - Master / Manager
jeffersongo,Developer,Developer - Sr,Developer,4 - Senior
jeffersongs,Software Architect,Software Architect - Mid,Software Architect,3 - Mid-Level
jeffersonjs,Developer,Developer - Sr,Developer,4 - Senior
jeffersonm,Tester,QA - Sr,QA,4 - Senior
jeffersonmn,Developer,Developer - Sr,Developer,4 - Senior
jeffersonn,Developer,Developer - Sr,Developer,4 - Senior
jeffersonrs,Developer,Developer - Mid,Developer,3 - Mid-Level
jeffersonsf,Developer,Developer - Sr,Developer,4 - Senior
jeffersontg,Developer,Developer - Mid,Developer,3 - Mid-Level
jefrey.padilla,Developer,Developer - Sr,Developer,4 - Senior
jefte,Developer,Developer - Mid,Developer,3 - Mid-Level
jeimmy.camacho,Quality Analyst,QA - Sr,QA,4 - Senior
jeisonp,Tester,QA - Mid,QA,3 - Mid-Level
jeisson.lazo,Developer,Developer - Sr,Developer,4 - Senior
jeissyguimaraes,Tester,QA - Sr,QA,4 - Senior
jenn,Senior Manager,Senior Manager,Senior Manager,6 - Master 2 / Senior Manager
jenniferjb,Systems Architect,Systems Architect,Systems Architect,5 - Master / Manager
jenniferrs,Developer,Developer - Jr,Developer,2 - Junior
jennyy,Tester,QA - Jr,QA,2 - Junior
jeordanecb,Software Architect,Software Architect - Sr,Software Architect,4 - Senior
jeremias,UI Designer,UI Designer - Sr,UI Designer,4 - Senior
jeremyw,Data Developer,Data Developer - Mid,Data Developer,3 - Mid-Level
jerichogarol,Quality Analyst,QA - Mid,QA,3 - Mid-Level
jessey,Developer,Developer - Mid,Developer,3 - Mid-Level
jessica,Systems Architect,Systems Architect,Systems Architect,5 - Master / Manager
jessica.ferreira,Developer,Developer - Jr,Developer,2 - Junior
jessica.magalhaes,Tester,QA - Sr,QA,4 - Senior
jessica.nascimento,Developer,Developer - Jr,Developer,2 - Junior
jessica.santos,Product Designer,UI Designer - Sr,UI Designer,4 - Senior
jessicaalves,Developer,Developer - Jr,Developer,2 - Junior
jessicaam,Tester,QA - Mid,QA,3 - Mid-Level
jessicaas,Data & Analytics Specialist,Data Analyst - Sr,Data Analyst,4 - Senior
jessicaassuncao,Data Scientist,Data Scientist - Mid,Data Scientist,3 - Mid-Level
jessicab,Developer,Developer - Mid,Developer,3 - Mid-Level
jessicach,Scrum Master,Scrum Master,Scrum Master,4 - Senior
jessicacs,Developer,Developer - Mid,Developer,3 - Mid-Level
jessicaferreira,Scrum Master,Scrum Master,Scrum Master,4 - Senior
jessicalima,Tester,QA - Jr,QA,2 - Junior
jessican,Developer,Developer - Jr,Developer,2 - Junior
jessicapl,Developer,Developer - Mid,Developer,3 - Mid-Level
jessicaps,Developer,Intern,Intern,1 - Intern
jessicasc,Developer,Intern,Intern,1 - Intern
jessikaf,Tester,QA - Mid,QA,3 - Mid-Level
jesus.olaciregui,Systems Architect,Systems Architect,Systems Architect,5 - Master / Manager
jezielle,Developer,Developer - Jr,Developer,2 - Junior
jfabre,Developer,Developer - Sr,Developer,4 - Senior
jfavetti,Software Architect,Software Architect - Sr,Software Architect,4 - Senior
jfelix,Tester,QA - Jr,QA,2 - Junior
jfidelis,Developer,Developer - Mid,Developer,3 - Mid-Level
jfigueredo,Tester,QA - Sr,QA,4 - Senior
jfinck,Architecture Manager,Principal Architect,Principal Architect,6 - Master 2 / Senior Manager
jflores,Developer,Developer - Sr,Developer,4 - Senior
jfortunato,Data Scientist,Data Scientist - Sr,Data Scientist,4 - Senior
jfranca,Developer,Developer - Sr,Developer,4 - Senior
jfreire,Developer,Developer - Mid,Developer,3 - Mid-Level
jfurigo,Tester,QA - Mid,QA,3 - Mid-Level
jg,Digital Strategist,Digital Strategist,Digital Strategist,4 - Senior
jgiacomello,Scrum Master,Scrum Master,Scrum Master,4 - Senior
jgilberto,Systems Architect,Systems Architect,Systems Architect,5 - Master / Manager
jgiuzio,Software Architect,Software Architect - Sr,Software Architect,4 - Senior
jgobbo,Project Manager,Project Manager,Project Manager,5 - Master / Manager
jgpereira,Developer,Developer - Sr,Developer,4 - Senior
jguedes,Developer,Developer - Jr,Developer,2 - Junior
jguimaraes,Developer,Developer - Sr,Developer,4 - Senior
jhanssen,Principal Software Developer,Developer - Master,Developer,6 - Master 2 / Senior Manager
jheimes,Squad Leader,Scrum Master,Scrum Master,4 - Senior
jhenifers,Software Architect,Software Architect - Sr,Software Architect,4 - Senior
jhenrique,Developer,Developer - Sr,Developer,4 - Senior
jhergert,Developer,Developer - Mid,Developer,3 - Mid-Level
jhoglas,Developer,Developer - Sr,Developer,4 - Senior
jhon.acevedo,Developer,Developer - Sr,Developer,4 - Senior
jhonatan,Developer,Developer - Sr,Developer,4 - Senior
jhonatan.acevedo,Developer,Developer - Mid,Developer,3 - Mid-Level
jhonatan.silva,Squad Leader,Scrum Master,Scrum Master,4 - Senior
jhonatanjs,Developer,Developer - Jr,Developer,2 - Junior
jhonatann,Developer,Developer - Sr,Developer,4 - Senior
jhonatant,Systems Architect,Systems Architect,Systems Architect,5 - Master / Manager
jhonatasas,Developer,Developer - Sr,Developer,4 - Senior
jhonatav,Developer,Developer - Mid,Developer,3 - Mid-Level
jianli,Developer,Developer - Mid,Developer,3 - Mid-Level
jieyyal,Systems Architect,Systems Architect,Systems Architect,5 - Master / Manager
jimmyj,Developer,Developer - Mid,Developer,3 - Mid-Level
jimmyl,UI Designer,UI Designer - Mid,UI Designer,3 - Mid-Level
jins,Product Designer,Not Applicable,Not Applicable,3 - Mid-Level
jjulio,Developer,Developer - Sr,Developer,4 - Senior
jkim,Developer,Developer - Sr,Developer,4 - Senior
jkoslowisk,Tester,QA - Mid,QA,3 - Mid-Level
jleal,Developer,Developer - Mid,Developer,3 - Mid-Level
jlemus,Developer,Developer - Sr,Developer,4 - Senior
jleonel,Scrum Master,Scrum Master,Scrum Master,4 - Senior
jlmelo,Developer,Developer - Sr,Developer,4 - Senior
jlopez,Architecture Manager,Principal Architect,Principal Architect,6 - Master 2 / Senior Manager
jlourenco,Tester,QA - Sr,QA,4 - Senior
jlramos,Developer,Developer - Mid,Developer,3 - Mid-Level
jmagioli,Data Developer,Data Developer - Sr,Data Developer,4 - Senior
jmaldonado,Data Developer,Data Developer - Sr,Data Developer,4 - Senior
jmamoni,Tester,QA - Sr,QA,4 - Senior
jmanara,Developer,Developer - Jr,Developer,2 - Junior
jmanzini,Systems Architect,Systems Architect,Systems Architect,5 - Master / Manager
jmarao,Developer,Developer - Mid,Developer,3 - Mid-Level
jmarchiori,Data & Analytics Specialist,Data Analyst - Jr,Data Analyst,2 - Junior
jmarcucci,Squad Leader,Scrum Master,Scrum Master,4 - Senior
jmarcus,Developer,Intern,Intern,1 - Intern
jmartinelli,Developer,Developer - Sr,Developer,4 - Senior
jmartorelli,Tester,QA - Sr,QA,4 - Senior
jmateus,Developer,Developer - Mid,Developer,3 - Mid-Level
jmatos,Data Developer,Data Developer - Sr,Data Developer,4 - Senior
jmedina,Developer,Developer - Sr,Developer,4 - Senior
jmelara,Developer,Intern,Intern,1 - Intern
jmichelan,Developer,Developer - Sr,Developer,4 - Senior
jmiguel,Tester,QA - Sr,QA,4 - Senior
jmihalich,Developer Master,Developer - Master,Developer,5 - Master / Manager
jmikaella,Developer,Developer - Mid,Developer,3 - Mid-Level
jmizarela,Developer,Developer - Mid,Developer,3 - Mid-Level
jmorbeck,Developer,Intern,Intern,1 - Intern
jmsanche,Scrum Master,Squad Leader,Squad Leader,5 - Master / Manager
jmuller,UX Expert,UX Specialist - Master,UX Specialist,5 - Master / Manager
jmurilo,Developer,Intern,Intern,1 - Intern
jnascimento,Tester,QA - Sr,QA,4 - Senior
jnicodemos,Software Architect,Software Architect - Sr,Software Architect,4 - Senior
jnovais,Scrum Master,Scrum Master,Scrum Master,4 - Senior
joan.avila,Tech Intern,Intern,Intern,1 - Intern
joanasl,Developer,Developer - Mid,Developer,3 - Mid-Level
joanvaldez,Tester,QA - Mid,QA,3 - Mid-Level
joao.alves,Project Manager,Project Manager,Project Manager,5 - Master / Manager
joao.cabral,Tester,QA - Mid,QA,3 - Mid-Level
joao.dutra,Product Designer,UI Designer - Sr,UI Designer,4 - Senior
joao.filgueiras,Developer,Developer - Sr,Developer,4 - Senior
joao.gomes,Developer,Intern,Intern,1 - Intern
joao.luz,Tester,QA - Sr,QA,4 - Senior
joao.porto,Developer,Developer - Sr,Developer,4 - Senior
joao.sales,Software Architect,Software Architect - Sr,Software Architect,4 - Senior
joao.salmoria,Product Designer Expert,UI Designer - Master,UI Designer,5 - Master / Manager
joao.sobrinho,Developer,Developer - Sr,Developer,4 - Senior
joao.toledo,Tester,QA - Mid,QA,3 - Mid-Level
joaoa,Developer,Developer - Sr,Developer,4 - Senior
joaoalcoforado,Data Developer,Data Developer - Sr,Data Developer,4 - Senior
joaoaraujo,Developer,Developer - Mid,Developer,3 - Mid-Level
joaobr,Developer,Developer - Sr,Developer,4 - Senior
joaobs,Developer,Developer - Sr,Developer,4 - Senior
joaobv,Tester,QA - Sr,QA,4 - Senior
joaoc,Developer,Intern,Intern,1 - Intern
joaocb,Developer,Developer - Sr,Developer,4 - Senior
joaodn,Developer,Developer - Mid,Developer,3 - Mid-Level
joaoe,Developer,Intern,Intern,1 - Intern
joaofb,Tester,QA - Sr,QA,4 - Senior
joaogalante,Developer,Developer - Mid,Developer,3 - Mid-Level
joaogomes,Digital Strategist,Digital Strategist,Digital Strategist,5 - Master / Manager
joaogp,Software Architect,Software Architect - Sr,Software Architect,4 - Senior
joaohonorato,Developer,Developer - Sr,Developer,4 - Senior
joaoismael,Tester,QA - Sr,QA,4 - Senior
joaojm,Developer,Developer - Mid,Developer,3 - Mid-Level
joaokl,Developer,Developer - Mid,Developer,3 - Mid-Level
joaolj,Developer,Developer - Sr,Developer,4 - Senior
joaolumi,Developer,Developer - Jr,Developer,2 - Junior
joaoma,Developer,Intern,Intern,1 - Intern
joaomachado,Developer,Developer - Mid,Developer,3 - Mid-Level
joaomartins,Tester,QA - Sr,QA,4 - Senior
joaomc,Developer,Developer - Jr,Developer,2 - Junior
joaomoraes,Developer,Developer - Mid,Developer,3 - Mid-Level
joaoms,Developer,Developer - Sr,Developer,4 - Senior
joaoneto,Tester,QA - Mid,QA,3 - Mid-Level
joaonf,Software Architect,Software Architect - Sr,Software Architect,4 - Senior
joaonneto,Developer,Developer - Mid,Developer,3 - Mid-Level
joaoocker,Tester,QA - Mid,QA,3 - Mid-Level
joaoom,Developer,Developer - Sr,Developer,4 - Senior
joaopaiva,Developer,Developer - Sr,Developer,4 - Senior
joaopanini,Developer,Developer - Mid,Developer,3 - Mid-Level
joaor,Developer Master,Developer - Master,Developer,5 - Master / Manager
joaord,Developer,Developer - Mid,Developer,3 - Mid-Level
joaorocha,Developer,Developer - Sr,Developer,4 - Senior
joaos,Developer,Developer - Mid,Developer,3 - Mid-Level
joaosantana,Tester,QA - Sr,QA,4 - Senior
joaosb,Developer,Developer - Sr,Developer,4 - Senior
joaosf,Developer,Developer - Sr,Developer,4 - Senior
joaosn,Developer,Developer - Mid,Developer,3 - Mid-Level
joaosv,Developer,Intern,Intern,1 - Intern
joaotr,Developer Master,Developer - Master,Developer,5 - Master / Manager
joaovf,Developer,Developer - Jr,Developer,2 - Junior
joaovm,Developer,Developer - Mid,Developer,3 - Mid-Level
joaovn,Developer,Developer - Mid,Developer,3 - Mid-Level
joaovp,Developer,Developer - Jr,Developer,2 - Junior
joaovr,Developer,Developer - Sr,Developer,4 - Senior
jocelynw,Developer,Developer - Jr,Developer,2 - Junior
jodaltroc,Developer,Developer - Sr,Developer,4 - Senior
joelk,Senior Strategist,Senior Digital Strategist,Senior Digital Strategist,6 - Master 2 / Senior Manager
joelt,Developer,Intern,Intern,1 - Intern
johan.cardona,Quality Analyst,QA - Sr,QA,4 - Senior
johan.meneses,Developer,Developer - Sr,Developer,4 - Senior
johank,Developer,Developer - Sr,Developer,4 - Senior
johanr,Software Architect,Software Architect - Sr,Software Architect,4 - Senior
john.appleyard,Product Director-EMEA,Product Manager,Product Manager,5 - Master / Manager
johnathanp,Developer,Developer - Jr,Developer,2 - Junior
johncarlos,Developer,Developer - Sr,Developer,4 - Senior
johnd,Tester,QA - Jr,QA,2 - Junior
johnealves,Developer,Developer - Mid,Developer,3 - Mid-Level
johnlimuelzoleta,Developer,Developer - Sr,Developer,4 - Senior
johnmoreira,Architecture Manager,Principal Architect,Principal Architect,6 - Master 2 / Senior Manager
johnnes,Developer,Developer - Sr,Developer,4 - Senior
johnny.lamus,Developer,Developer - Sr,Developer,4 - Senior
johnny.souza,Project Manager,Project Manager,Project Manager,5 - Master / Manager
johnnyl,UI Designer,UI Designer - Mid,UI Designer,3 - Mid-Level
johnnym,Tester,QA - Sr,QA,4 - Senior
joicefd,Product Manager,Product Manager,Product Manager,5 - Master / Manager
jonas,Squad Leader,Scrum Master,Scrum Master,4 - Senior
jonas.epstein,Senior Manager,Senior Manager,Senior Manager,6 - Master 2 / Senior Manager
jonas.marcelino,Developer,Developer - Mid,Developer,3 - Mid-Level
jonas.ninni,Developer,Developer - Sr,Developer,4 - Senior
jonasg,Software Architect,Software Architect - Sr,Software Architect,4 - Senior
jonasneves,Developer,Developer - Mid,Developer,3 - Mid-Level
jonasp,Developer,Developer - Sr,Developer,4 - Senior
jonasps,Developer,Developer - Mid,Developer,3 - Mid-Level
jonatansr,DevOps,Not Applicable,Not Applicable,4 - Senior
jonatasfb,Tester,QA - Sr,QA,4 - Senior
jonatasps,Developer,Developer - Jr,Developer,2 - Junior
jonatasraatz,Software Architect,Software Architect - Sr,Software Architect,4 - Senior
jonathan.pulecio,Developer,Developer - Sr,Developer,4 - Senior
jonathan.salas,Architecture Manager,Principal Architect,Principal Architect,6 - Master 2 / Senior Manager
jonathan.sandoval,Product Owner,Business Analyst - Mid,Business Analyst,3 - Mid-Level
jonathan.silva,Developer,Developer - Sr,Developer,4 - Senior
jonathanb,Developer,Developer - Mid,Developer,3 - Mid-Level
jonathang,Developer,Developer - Sr,Developer,4 - Senior
jonathanlauro,Developer,Developer - Mid,Developer,3 - Mid-Level
jonathansantos,Developer,Developer - Sr,Developer,4 - Senior
jonathas.silva,Developer,Developer - Sr,Developer,4 - Senior
jonathasb,Systems Architect,Systems Architect,Systems Architect,5 - Master / Manager
jonel,Developer,Developer - Mid,Developer,3 - Mid-Level
jonessoares,Developer,Developer - Sr,Developer,4 - Senior
jonnyg,Developer,Developer - Sr,Developer,4 - Senior
jorge.barco,Tech Intern,Intern,Intern,1 - Intern
jorge.gordillo,Developer,Developer - Sr,Developer,4 - Senior
jorge.hernandez,Developer,Developer - Sr,Developer,4 - Senior
jorge.olarte,Developer,Developer - Sr,Developer,4 - Senior
jorge.parrado,Developer,Developer - Sr,Developer,4 - Senior
jorge.pino,Tech Intern,Intern,Intern,1 - Intern
jorgeal,Developer,Developer - Mid,Developer,3 - Mid-Level
jorgecastro,Developer,Developer - Mid,Developer,3 - Mid-Level
jorgecn,Developer,Developer - Sr,Developer,4 - Senior
jorgeh,Developer Master,Developer - Master,Developer,5 - Master / Manager
jorgemd,Software Architect,Software Architect - Sr,Software Architect,4 - Senior
jorgenj,Systems Architect,Systems Architect,Systems Architect,5 - Master / Manager
jorger,Data Developer,Data Developer - Mid,Data Developer,3 - Mid-Level
jorges,Developer,Developer - Jr,Developer,2 - Junior
jorgesn,Software Architect,Software Architect - Sr,Software Architect,4 - Senior
jose.contreras,Software Architect,Software Architect - Sr,Software Architect,4 - Senior
jose.escobar,Data Developer,Data Developer - Sr,Data Developer,4 - Senior
jose.filho,Developer,Developer - Mid,Developer,3 - Mid-Level
jose.lopez,Tech Intern,Intern,Intern,1 - Intern
jose.paiva,Developer,Developer - Sr,Developer,4 - Senior
jose.ribeiro,Product Designer,UI Designer - Mid,UI Designer,3 - Mid-Level
jose.tadeu,Senior Manager,Senior Manager,Senior Manager,6 - Master 2 / Senior Manager
josealan,Tester,QA - Mid,QA,3 - Mid-Level
josealves,Developer,Developer - Sr,Developer,4 - Senior
josearaujo,Developer,Developer - Sr,Developer,4 - Senior
joseaugusto,Developer,Developer - Jr,Developer,2 - Junior
josebalbin,Developer,Developer - Sr,Developer,4 - Senior
josebf,Developer,Developer - Sr,Developer,4 - Senior
joseelbertanacan,Developer,Developer - Mid,Developer,3 - Mid-Level
joseff,Developer,Developer - Mid,Developer,3 - Mid-Level
josefreitas,Developer,Developer - Mid,Developer,3 - Mid-Level
josegs,Developer,Developer - Sr,Developer,4 - Senior
josehauck,Developer,Developer - Mid,Developer,3 - Mid-Level
josehp,Developer,Developer - Mid,Developer,3 - Mid-Level
josel,Developer,Developer - Mid,Developer,3 - Mid-Level
joself,Developer,Developer - Sr,Developer,4 - Senior
joseliap,Developer,Developer - Mid,Developer,3 - Mid-Level
joselins,Tester,QA - Mid,QA,3 - Mid-Level
joselucas,Developer,Developer - Mid,Developer,3 - Mid-Level
josemaramorim,Developer,Developer - Sr,Developer,4 - Senior
josemauad,Developer,Developer - Mid,Developer,3 - Mid-Level
josenildo.costa,Software Architect,Software Architect - Sr,Software Architect,4 - Senior
joseramos,Scrum Master,Scrum Master,Scrum Master,4 - Senior
joses,Developer,Developer - Mid,Developer,3 - Mid-Level
josesantos,Scrum Master,Scrum Master,Scrum Master,3 - Mid-Level
josesd,Developer,Developer - Sr,Developer,4 - Senior
josesf,Developer,Developer - Jr,Developer,2 - Junior
josezn,Data & Analytics Specialist,Data Analyst - Mid,Data Analyst,3 - Mid-Level
joshua,Developer,Intern,Intern,1 - Intern
josianes,Senior Manager,Senior Manager,Senior Manager,6 - Master 2 / Senior Manager
josiara,Squad Leader,Squad Leader,Squad Leader,5 - Master / Manager
josiasn,Developer,Developer - Mid,Developer,3 - Mid-Level
josiete.carmo,UX Expert,UX Specialist - Master,UX Specialist,5 - Master / Manager
josue.molina,Developer,Developer - Sr,Developer,4 - Senior
josuef,Developer,Developer - Mid,Developer,3 - Mid-Level
josuej,Developer,Intern,Intern,1 - Intern
josuenr,Developer,Developer - Sr,Developer,4 - Senior
josuets,Developer,Developer - Jr,Developer,2 - Junior
joyce.bastos,Tester,QA - Sr,QA,4 - Senior
joycel,Tester,QA - Mid,QA,3 - Mid-Level
joycelf,Developer,Developer - Sr,Developer,4 - Senior
joycemendoza,Scrum Master,Scrum Master,Scrum Master,3 - Mid-Level
joyceromano,Senior Digital Strategist,Senior Digital Strategist,Senior Digital Strategist,6 - Master 2 / Senior Manager
joygu,Support Analyst,Support Analyst - Jr,Support Analyst,2 - Junior
joyl,Associate Tester,QA - Mid,QA,3 - Mid-Level
jozianednt,Tester,QA - Jr,QA,2 - Junior
jpadua,Squad Leader,Scrum Master,Scrum Master,4 - Senior
jpamplona,Developer,Developer - Sr,Developer,4 - Senior
jpantaleao,Developer,Developer - Mid,Developer,3 - Mid-Level
jpantoni,Developer,Developer - Sr,Developer,4 - Senior
jpardim,UI Designer,UI Designer - Mid,UI Designer,3 - Mid-Level
jpassos,Developer,Developer - Jr,Developer,2 - Junior
jpcosta,Scrum Master,Scrum Master,Scrum Master,4 - Senior
jpedretti,Systems Architect,Systems Architect,Systems Architect,5 - Master / Manager
jpegoli,Squad Leader,Squad Leader,Squad Leader,5 - Master / Manager
jpelicon,Developer,Developer - Mid,Developer,3 - Mid-Level
jpfechine,Product Design Manager,Product Manager,Product Manager,5 - Master / Manager
jpfurtado,Developer,Developer - Sr,Developer,4 - Senior
jpimentel,Developer Master,Developer - Master,Developer,5 - Master / Manager
jpinheiro,Tester,QA - Sr,QA,4 - Senior
jpiton,Data Developer,Data Developer - Jr,Data Developer,2 - Junior
jpneder,Developer,Developer - Sr,Developer,4 - Senior
jprada,Developer,Developer - Sr,Developer,4 - Senior
jprado,Tester,QA - Sr,QA,4 - Senior
jprimon,Senior Manager,Senior Manager,Senior Manager,6 - Master 2 / Senior Manager
jpximenes,Software Architect,Software Architect - Sr,Software Architect,4 - Senior
jraccioni,Tester,QA - Sr,QA,4 - Senior
jregina,Squad Leader,Squad Leader,Squad Leader,5 - Master / Manager
jrenato,Developer,Developer - Mid,Developer,3 - Mid-Level
jrend,Developer,Developer - Sr,Developer,4 - Senior
jricardi,Developer,Developer - Sr,Developer,4 - Senior
jroncon,Product Development Manager,Product Manager,Product Manager,5 - Master / Manager
jrosario,Data & Analytics Specialist,Data Analyst - Sr,Data Analyst,4 - Senior
jsabino,Developer,Developer - Mid,Developer,3 - Mid-Level
jsales,Developer,Developer - Mid,Developer,3 - Mid-Level
jsantana,UI Designer,UI Designer - Sr,UI Designer,4 - Senior
jsantiago,Tester,QA - Mid,QA,3 - Mid-Level
jsantuci,Architecture Manager,Principal Architect,Principal Architect,6 - Master 2 / Senior Manager
jschimidt,Developer,Developer - Mid,Developer,3 - Mid-Level
jschmitt,Developer,Developer - Mid,Developer,3 - Mid-Level
jserafim,Developer,Developer - Mid,Developer,3 - Mid-Level
jserafini,Scrum Master,Scrum Master,Scrum Master,4 - Senior
jsetin,Senior Manager,Senior Manager,Senior Manager,6 - Master 2 / Senior Manager
jsilvestre,Product Owner,Business Analyst - Mid,Business Analyst,3 - Mid-Level
jsimoni,Squad Leader,Squad Leader,Squad Leader,5 - Master / Manager
jsiqueira,Data Developer,Data Developer - Mid,Data Developer,3 - Mid-Level
jsoares,Developer,Developer - Mid,Developer,3 - Mid-Level
jsobrinho,Tester,QA - Jr,QA,2 - Junior
jsousa,Developer,Developer - Sr,Developer,4 - Senior
jspencer,Data Developer,Data Developer - Sr,Data Developer,4 - Senior
jstoyoshima,Developer,Developer - Sr,Developer,4 - Senior
jtales,Tester,QA - Jr,QA,2 - Junior
jtogneto,Squad Leader,Squad Leader,Squad Leader,5 - Master / Manager
jtopanotti,Developer,Developer - Mid,Developer,3 - Mid-Level
juan.adarve,Senior Content Manager,Not Applicable,Not Applicable,5 - Master / Manager
juan.anaya,Data & Analytics Specialist,Data Analyst - Sr,Data Analyst,4 - Senior
juan.botero,Data Developer,Data Developer - Sr,Data Developer,4 - Senior
juan.cabezas,Developer,Developer - Sr,Developer,4 - Senior
juan.casanova,Developer,Developer - Mid,Developer,3 - Mid-Level
juan.cruz,Systems Architect,Systems Architect,Systems Architect,5 - Master / Manager
juan.diaz,Quality Analyst,QA - Mid,QA,3 - Mid-Level
juan.erazo,Tech Intern,Intern,Intern,1 - Intern
juan.eron,Developer,Developer - Mid,Developer,3 - Mid-Level
juan.forero,Developer,Developer - Sr,Developer,4 - Senior
juan.gallon,Quality Analyst,QA - Sr,QA,4 - Senior
juan.gonzalez,Tech Intern,Intern,Intern,1 - Intern
juan.ibanez,Data Architect,Software Architect - Sr,Software Architect,4 - Senior
juan.maestre,Tech Intern,Intern,Intern,1 - Intern
juan.manco,Tech Intern,Intern,Intern,1 - Intern
juan.narvaez,Developer,Developer - Mid,Developer,3 - Mid-Level
juan.pelaez,Developer,Developer - Sr,Developer,4 - Senior
juan.rodriguez,Quality Analyst,QA - Jr,QA,2 - Junior
juan.usma,Tech Intern,Intern,Intern,1 - Intern
juana.osorio,Content Manager,Business Analyst - Mid,Business Analyst,3 - Mid-Level
juanbc,Developer,Developer - Sr,Developer,4 - Senior
juancec,Developer,Developer - Sr,Developer,4 - Senior
juancz,Squad Leader,Squad Leader,Squad Leader,5 - Master / Manager
juang,Developer,Developer - Sr,Developer,4 - Senior
juanluiggi,Developer,Developer - Jr,Developer,2 - Junior
juanpaiva,Tester Master,QA - Master,QA,5 - Master / Manager
juans,Support Analyst,Support Analyst - Jr,Support Analyst,2 - Junior
juanslf,Developer,Developer - Mid,Developer,3 - Mid-Level
juansp,Developer,Developer - Mid,Developer,3 - Mid-Level
juda,Systems Architect,Systems Architect,Systems Architect,5 - Master / Manager
judexu,Developer,Developer - Mid,Developer,3 - Mid-Level
julia.caleffi,Not Applicable,Not Applicable,Not Applicable,3 - Mid-Level
julia.curan,Not Applicable,Not Applicable,Not Applicable,6 - Master 2 / Senior Manager
julia.pissolatti,Not Applicable,Not Applicable,Not Applicable,3 - Mid-Level
julia.silva,Tester,QA - Mid,QA,3 - Mid-Level
juliaaraujo,Developer,Developer - Sr,Developer,4 - Senior
juliaborges,Tester,QA - Jr,QA,2 - Junior
juliaf,Developer,Intern,Intern,1 - Intern
juliagoncalves,Scrum Master,Scrum Master,Scrum Master,4 - Senior
juliaiolanda,Developer,Developer - Mid,Developer,3 - Mid-Level
julials,Developer,Developer - Mid,Developer,3 - Mid-Level
juliamonaco,Data Developer,Data Developer - Mid,Data Developer,3 - Mid-Level
juliamoura,Scrum Master,Scrum Master,Scrum Master,3 - Mid-Level
juliamr,Scrum Master,Scrum Master,Scrum Master,4 - Senior
julian.guerrero,Developer Master,Developer - Master,Developer,5 - Master / Manager
